1,Животные и товары для питомцев
2,,Товары для домашних животных
3,,,Товары для птиц
213,,,Носки и нижнее белье
209,,,,Носки
214,,,,Бюстгальтеры
215,,,,Чулочно-носочные изделия
1578,,,,Моделирующее белье
1772,,,,Женское белье
1807,,,,Теплые кальсоны
2562,,,,Нижнее белье
2563,,,,Принадлежности для женского белья
1675,,,,,Подвязки
2160,,,,,Пояса с резинками
2745,,,,Нижние рубашки
2963,,,,Нижние юбки и шортики
5327,,,,Суспензории
5834,,,,Трусы-слипы
7207,,,,Принадлежности для бюстгальтеров
7208,,,,,Подкладки под бретели бюстгальтеров
7209,,,,,Стикини
7210,,,,,"Подкладки, увеличивающие грудь"
7211,,,,,Бретельки и экстендеры для бюстгальтеров
1581,,,Юбки
2331,,,,Мини-юбки
6228,,,,Длинные юбки
6229,,,,Юбки до колен
1594,,,Выходные костюмы
1516,,,,Юбочные костюмы
1580,,,,Смокинги
5183,,,,Брючные костюмы
2271,,,Платья
2306,,,Униформа
206,,,,Школьная форма
2292,,,,Белые халаты
3414,,,,Форма для охранников
3598,,,,Спортивная форма
3191,,,,,Бейсбольная форма
3253,,,,,Судейская форма
3379,,,,,Форма для софтбола
3439,,,,,Баскетбольная форма
3683,,,,,Форма для чирлидинга
3724,,,,,Форма для крикета
3852,,,,,Одежда для борьбы
3888,,,,,Форма для американского футбола
3958,,,,,Хоккейная форма
4003,,,,,Одежда для боевых искусств
5564,,,,,Футбольная форма
5484,,,,Форменные брюки и комбинезоны
5878,,,,Летные комбинезоны
5949,,,,Военная форма
7235,,,,Униформа для работников общественного питания
2396,,,,,Жакеты для поваров
7236,,,,,Поварские штаны
7237,,,,,Поварские колпаки
5182,,,Одежда из цельного куска ткани
5250,,,,Комбинезоны и ромперы
5490,,,,Леотарды и юнитарды
7132,,,,Комбинезоны с длинными рукавами
5322,,,Спортивная одежда
3951,,,,Штаны для американского футбола
5378,,,,Шорты для бокса
5379,,,,Шорты для боевых искусств
5460,,,,Одежда для охоты
5461,,,,,Жилеты для охоты и рыбалки
5462,,,,,Камуфляжные костюмы
5552,,,,,Брюки для охоты
5517,,,,Защитная одежда для мотоциклистов
5463,,,,,Мотоциклетные костюмы
6006,,,,,Куртки для мотоциклистов
7003,,,,,Штаны для мотоциклистов
5555,,,,Одежда для пейнтбола
5697,,,,Одежда для велосипедного спорта
3128,,,,,Велосипедные комбинезоны
3188,,,,,Велосипедные шорты и трусы
3455,,,,,Велосипедные майки
3729,,,,,Велосипедные штаны
6087,,,,,Трико для велосипедистов
499979,,,,"Танцевальные костюмы, платья и юбки"
5344,,,Юбки-шорты
5388,,,Традиционная и церемониальная одежда
5343,,,,Кимоно
5679,,,,,Кимоно томесоде и хомонги
5680,,,,,Кимоно комон
5681,,,,,Кимоно иромудзи
5682,,,,,Кимоно фурисодэ
5683,,,,,Повседневные кимоно
5684,,,,,Свадебные кимоно
5483,,,,Одежда для религиозных обрядов
8149,,,,,Одежда для крещения
5673,,,,Кимоно для улицы
5677,,,,,Пальто-кимоно
5678,,,,,Хаори
5674,,,,Хакама
5676,,,,Юката
6031,,,,Дирндли
6227,,,,Японские смокинги
7281,,,,Традиционные кожаные штаны
8248,,,,Сари и лехенга
5441,,,Свадебные наряды
5329,,,,Свадебные платья
5330,,,,Платья для подружек невесты
7313,,,Наборы одежды
1933,,Принадлежности для обуви
1856,,,Шнурки для обуви
2427,,,Шпоры
5385,,,Бахилы
5567,,,Вставки для обуви
7078,,,Гетры
6551,,"Ручные сумки, кошельки и чехлы"
2668,,,Кошельки и зажимы для денег
3032,,,Дамские ручные сумки
6169,,,Ящики для визиток
6170,,,Держатели для бейджей и пропусков
6552,,Принадлежности для ручных сумок и кошельков
175,,,Брелоки для ключей
5841,,,Цепи для кошельков
6277,,,Ремешки
6460,,,Обложки для чековых книжек
222,Электроника
223,,Аудиосистемы
242,,,Устройства для воспроизведения и записи звука
225,,,,Бумбоксы
226,,,,CD-плееры
230,,,,Системы караоке
233,,,,MP3-Плееры
235,,,,Проигрыватели минидисков
243,,,,Кассетные проигрыватели
244,,,,Диктофоны
251,,,,Стереосистемы
252,,,,Системы домашних кинотеатров
256,,,,Проигрыватели грампластинок
4652,,,,Музыкальные автоматы
5434,,,,Многодорожечные рекордеры
6886,,,,Радиоприемники
8271,,,,Катушечные магнитофоны и плееры
1420,,,Принадлежности для аудиосистем
232,,,,Принадлежности для MP3-плееров
3055,,,,,Футляры для MP3-плееров
7566,,,,,Наборы принадлежностей для MP3-плееров и мобильных телефонов
239,,,,Принадлежности для спутниковых радиосистем
2372,,,,Принадлежности для проигрывателей грампластинок
3306,,,,Принадлежности для микрофонов
3912,,,,Подставки для микрофонов
5395,,,,Принадлежности для систем караоке
5396,,,,,Карты с песнями караоке
7163,,,,Принадлежности для акустических колонок
8047,,,,,Сумки для подставок для акустических колонок
8049,,,,,Подставки для акустических колонок
500112,,,,,"Сумки, футляры и чехлы для колонок"
500119,,,,,Тактильные преобразователи
500120,,,,,Детали и наборы деталей для аудиоколонок
503008,,,,Принадлежности для аудио- и видеоресиверов
505797,,,,Принадлежности для наушников и гарнитур
503004,,,,,Насадки для наушников
2154,,,Системы громкой связи
2165,,,Аудиокомпоненты
224,,,,Звуковые усилители
4493,,,,,Усилители для наушников
5381,,,,,Стереоусилители
234,,,,Микрофоны
236,,,,Аудиомикшеры
241,,,,Аудио- и видеоресиверы
246,,,,Процессоры сигналов
247,,,,,Эффект-процессоры
248,,,,,Эквалайзеры
3945,,,,,Предварительные усилители для микрофонов
5369,,,,,Фонокорректоры
5435,,,,,Кроссоверы
5596,,,,,Пороговые шумоподавители и компрессоры
5597,,,,,Системы управления громкой связью
249,,,,Акустические колонки
5129,,,,Аудиопередатчики
4035,,,,,FM-передатчики
5130,,,,,Передатчики Bluetooth
6545,,,,Канальные линейки
6546,,,,Директ-боксы
505298,,,,Комплекты для студийной записи
505771,,,,Наушники и гарнитуры
543626,,,,,Накладные наушники
543627,,,,,Головные гарнитуры
3727,,,Сценическое оборудование
3242,,,,Беспроводные передатчики
4921,,,Профессиональные и DJ-аудиосистемы
4922,,,,DJ CD-плееры
4923,,,,DJ-системы
8159,,,Мегафоны
262,,Связь
263,,,Принадлежности для радиосистем
266,,,Автоответчики
268,,,Пейджеры
270,,,Телефония
264,,,,Принадлежности для мобильных телефонов
2353,,,,,Чехлы для мобильных телефонов
4550,,,,,Подвески и ремешки для мобильных телефонов
5566,,,,,Стойки и держатели для мобильных телефонов
6030,,,,,SIM-карты для мобильных телефонов
543515,,,,,,Мобильные телефоны с предоплаченными картами
543516,,,,,,SIM-карты
7347,,,,,Запасные части для мобильных телефонов
8111,,,,,Принадлежности для камер мобильных телефонов
499916,,,,,Инструменты для извлечения SIM-карт
265,,,,Принадлежности для телефонов
269,,,,,Телефонные карты
267,,,,Мобильные телефоны
543512,,,,,Мобильные телефоны с предоплаченной связью
543513,,,,,Мобильные телефоны с контрактом
543514,,,,,Разблокированные мобильные телефоны
271,,,,Проводные телефоны
272,,,,Беспроводные телефоны
1924,,,,Спутниковые телефоны
4666,,,,Телефоны для конференц-связи
274,,,Товары для видеоконференций
360,,,Системы двусторонней связи
2471,,,Товары для радиосвязи
273,,,,Приемопередатчики
2106,,,,СиБи-радио
4415,,,,Радиосканеры
5275,,,Определители для телефонов
5404,,,Принадлежности для домофонов
278,,Компьютеры
298,,,Портативные устройства
3539,,,,Электронные книги
3769,,,,КПК
5256,,,,Терминалы сбора данных
325,,,Настольные компьютеры
328,,,Ноутбуки
331,,,Серверы
4745,,,Планшетные ПК
5254,,,Компьютеры Barebone
5255,,,Интерактивные киоски
8539,,,Тонкие и нулевые клиенты
543668,,,,Тонкие клиенты
543669,,,,Нулевые клиенты
500002,,,Цифровые очки
502995,,,Панельные компьютеры
339,,GPS-навигаторы
340,,Морская электроника
1550,,,Рыболокаторы
1552,,,Судовые радары
2178,,,Морские картплоттеры и системы GPS
4450,,,Морские радиомодули
8134,,,Судовые аудио- и видеоприемники
8473,,,Судовые громкоговорители
342,,Сетевое оборудование
290,,,Сетевые карты и адаптеры
343,,,Модемы
1350,,,Мосты и маршрутизаторы
2358,,,,VoIP-шлюзы и маршрутизаторы
5496,,,,Точки беспроводного доступа
5497,,,,Беспроводные маршрутизаторы
5659,,,,Сетевые мосты
2121,,,Повторители и трансиверы
2455,,,Сетевые концентраторы и коммутаторы
2479,,,Концентраторы и мультиплексоры
3425,,,Принт-серверы
3742,,,Устройства защиты сети и межсетевые экраны
5576,,,Принадлежности для модемов
6508,,,Инжекторы и разветвители питания
345,,"Печать, копирование, сканирование и факсимильная связь"
284,,,Принадлежности для сканеров
306,,,Сканеры
6865,,,Трехмерные принтеры
499682,,,Принадлежности для 3D-принтеров
500106,,,"Принтеры, копировальные аппараты и факсы"
502990,,,"Принадлежности для принтеров, копировальных аппаратов и факсов"
1683,,,,Память для принтеров
5258,,,,Расходные материалы для принтеров
356,,,,,Картриджи с тонером и чернилами
5259,,,,,Печатные барабаны и комплекты
5260,,,,,Ленты для принтеров
5261,,,,,Печатающие головки
5262,,,,,Комплекты обслуживания принтера
5266,,,,,Фильтры для принтеров
7362,,,,,Заправки для картриджей с чернилами и тонером
5265,,,,Дуплексеры для принтеров
5459,,,,Стойки для принтеров
502991,,,,"Детали для принтеров, копировальных аппаратов и факсов"
386,,Видеоаппаратура
305,,,Компьютерные мониторы
387,,,Видеоплееры и рекордеры
388,,,,DVD-плееры
389,,,,Рекордеры DVD
390,,,,Цифровые видеорекордеры
391,,,,Видеомагнитофоны
5276,,,,Сетевые медиаплееры
396,,,Проекторы
397,,,,Мультимедийные проекторы
398,,,,Диапроекторы
399,,,,Слайд-проекторы
404,,,Телевизоры
1368,,,Аппаратура и производственное оборудование для редактирования видеоизображений
1634,,,Видеомультиплексоры
2027,,,Принадлежности для видеоустройств
283,,,,Принадлежности для компьютерных мониторов
5516,,,,,Калибровщики цвета
393,,,,Принадлежности для проекторов
394,,,,,Сменные лампы для проекторов
395,,,,,Проекционные экраны
4570,,,,,Стойки для проекционных экранов
5257,,,,,Крепления для проекторов
5599,,,,,Юбки для штативов и проекционных стоек
403,,,,Детали и принадлежности для телевизоров
4458,,,,,Крепления для телевизоров и мониторов
5471,,,,,Сменные лампы для телевизоров
5503,,,,,Телевизионные приставки
43616,,,,,Запасные динамики для телевизоров
2145,,,,Устройства перемотки
4760,,,,3D-очки
5278,,,Видеосерверы
5450,,,Видеопередатчики
5561,,,Товары для спутникового и кабельного телевидения
401,,,,Приемники спутникового телевидения
5562,,,,Приёмники кабельного телевидения
912,,Детекторы радаров
1270,,Принадлежности для консолей видеоигр
1505,,,Принадлежности для игровых консолей
2070,,,Принадлежности для портативных игровых консолей
1294,,Консоли для видеоигр
1801,,Электронные компоненты
1337,,,Модуляторы
1544,,,Разветвители
1977,,,Разъемы для электронных компонентов
2182,,,Преобразователи
2205,,,,Преобразователи развертки
503001,,,,Аудиоконвертеры
7395,,,Акселерометры
2082,,Принадлежности для электроники
258,,,Адаптеры
146,,,,Адаптеры для карт памяти
4463,,,,Аудио- и видеоадаптеры
7182,,,,USB-адаптеры
259,,,Кабели
1480,,,,Сетевые кабели
1763,,,,Системные и силовые кабели
1867,,,,Аудио- и видеокабели
3461,,,,КВМ-кабели
3541,,,,Телефонные кабели
500035,,,,Кабели для передачи данных
275,,,Электропитание
276,,,,Аккумуляторы
1564,,,,,Аккумуляторы для ноутбуков
1722,,,,,Аккумуляторы для фотоаппаратов
1745,,,,,Аккумуляторы для мобильных телефонов
1880,,,,,Аккумуляторы для беспроводных телефонов
2222,,,,,Аккумуляторы для видеокамер
4928,,,,,Батареи и аккумуляторы общего назначения
5133,,,,,Аккумуляторы для КПК
6289,,,,,Батареи для ИБП
7438,,,,,Батареи для планшетных ПК
7551,,,,,Батареи для устройств для чтения электронных книг
499810,,,,,Аккумуляторы для MP3-плееров
500117,,,,,Аккумуляторы для игровых приставок и пультов управления
1348,,,,Источники бесперебойного питания
1375,,,,Принадлежности для ИБП
2978,,,,Топливные элементы
3160,,,,Удлинители и сетевые фильтры
5274,,,,Корпуса и шкафы для систем электропитания
5380,,,,Устройства для защиты от импульсных перенапряжений
6790,,,,Регуляторы мощности
6933,,,,Принадлежности для адаптеров электропитания
7135,,,,Туристические переходники и адаптеры
7166,,,,Принадлежности для батарей
3130,,,,,Зарядные устройства для камер
6817,,,,,Устройства регулирования зарядки
7167,,,,,Зарядные устройства для аккумуляторов общего назначения
8243,,,,,Держатели для аккумуляторов
499928,,,,,Тестеры батареек
505295,,,,Адаптеры питания и зарядные устройства
279,,,Компьютерные принадлежности
280,,,,Принадлежности для карманных устройств
4736,,,,,Принадлежности для электронных книг
4738,,,,,,Чехлы для электронных книг
4737,,,,,Принадлежности для КПК
4739,,,,,,Чехлы для КПК
300,,,,Док-станции для ноутбуков
1993,,,,Коврики для мыши
5308,,,,Стилусы
5489,,,,Подставки для компьютеров
5669,,,,Запасные стержни и головки для стилусов
6291,,,,Подушки для запястья
6979,,,,Платформы и подставки для клавиатуры
7530,,,,Чехлы и кожухи для компьютеров
499956,,,,Подставки и доки для планшетных ПК
500040,,,,Комплекты компьютерных принадлежностей
285,,,Компьютерные компоненты
287,,,,Платы расширения для компьютеров
286,,,,,Звуковые карты
297,,,,,Видеокарты
1487,,,,,Платы и адаптеры ТВ-тюнеров
503755,,,,,Райзер-платы
505299,,,,,Интерфейсные платы и адаптеры для компьютеров
291,,,,Блоки питания для компьютеров
292,,,,Процессоры для компьютеров
293,,,,Компьютерные стойки и крепеж
294,,,,Комплекты для сборки компьютеров
295,,,,Детали для охлаждения компьютерных систем
296,,,,Корпуса компьютеров
311,,,,Концентраторы USB и FireWire
1928,,,,Устройства ввода
139,,,,,Сканеры штрихкодов
301,,,,,Игровые контроллеры
543588,,,,,,Джойстики
543589,,,,,,Геймпады
543590,,,,,,Пульты управления для игр
543591,,,,,,Игровые рули
543593,,,,,,Игровые контроллеры для имитации музыкальных инструментов
302,,,,,Графические планшеты
303,,,,,Компьютерные клавиатуры
304,,,,,Мыши и трекболы
308,,,,,Сенсорные панели
1562,,,,,КВМ-переключатели
3580,,,,,Устройства для считывания карт памяти
4512,,,,,Цифровые клавишные панели
5309,,,,,Цифровые ручки
5366,,,,,Устройства чтения отпечатков пальцев
499950,,,,,Устройства для управжения жестами
505801,,,,,Устройства для чтения магнитных карт и карт с чипом
2414,,,,Оборудование для хранения данных
377,,,,,Оптические дисководы
380,,,,,Жесткие диски
385,,,,,Ленточные накопители
1301,,,,,Дисководы для гибких дисков
1623,,,,,Принадлежности для дисковых накопителей
381,,,,,,Футляры для переноски жестких дисков
4417,,,,,,Док-станции для жестких дисков
505767,,,,,,Футляры и док-станции для жестких дисков
3712,,,,,USB флэш-накопители
5268,,,,,Устройства для дублирования данных
376,,,,,,Дупликаторы CD/DVD-дисков
5112,,,,,,Дупликаторы USB-накопителей
5271,,,,,,Дупликаторы жестких дисков
5269,,,,,Сетевые системы хранения данных
5272,,,,,Дисковые массивы
4224,,,,Запчасти для ноутбуков
4102,,,,,Сменные экраны для ноутбуков
4270,,,,,Наклейки на ноутбуки
4301,,,,,Сменные клавиатуры для ноутбуков
6416,,,,,Петли для ноутбуков
7501,,,,,Запасные кабели для ноутбуков
8160,,,,,Дигитайзеры для экранов ноутбуков
43617,,,,,Запасные динамики для ноутбуков
6475,,,,Принадлежности для устройств ввода
6476,,,,,Стойки для сканеров штрих-кодов
8008,,,,,Принадлежности для игровых контроллеров
500052,,,,,Принадлежности для мыши и трекбола
503003,,,,,Клавиши и наклейки на клавиши клавиатуры
6932,,,,Шкафы для блейд-серверов
7349,,,,Детали для планшетных ПК
45262,,,,,Сменные динамики для планшетных ПК
500013,,,,,Экраны для планшетных ПК
503002,,,,,Чехлы для планшетных ПК
8158,,,,Заглушки для слотов компьютерных плат
8162,,,,Детали для электронных книг
8163,,,,,Сменные экраны для электронных книг
288,,,Память
384,,,,Флеш-память
3387,,,,,Карты флеш-памяти
1665,,,,Кэш-память
1733,,,,ОЗУ
1767,,,,Видеопамять
2130,,,,ПЗУ
341,,,Пульты дистанционного управления
367,,,Чистые носители
1718,,,Антенны
3328,,,Прокладка кабелей
3764,,,,Зажимы для кабелей
4016,,,,Ленты для проводов и кабелей
5273,,,,Коммутационные  панели
6402,,,,Кабельные коробы
6780,,,,Кабельные муфты
499686,,,,Идентификационные маркеры для кабелей и проводов
500036,,,,Пистолеты для стяжки кабеля
3422,,,Принадлежности для модулей памяти
3672,,,,Кассеты для модулей памяти
4617,,,Чистящие средства для электроники
5466,,,Защитные пленки и экраны для электроприборов
5467,,,,Фильтры конфиденциальности
5468,,,,Защитные плёнки для экранов
5469,,,,Протекторы для клавиатур
5523,,,,Наклейки и переводные картинки для электроприборов
5473,,,Усилители сигналов
5476,,,Принадлежности для антенн
5477,,,,Опорные механизмы и кронштейны для крепления антенн
5478,,,,Поворотные устройства для антенн
6016,,,,Спутниковые конвертеры
5695,,,Глушители сигналов
5589,,,,Радарные глушители
5612,,,,Глушители GPS
5696,,,,Глушители сигналов мобильных телефонов
8156,,,Аудио- и видеоразветвители и переключатели
8164,,,,Разветвители и переключатели HDMI
499944,,,,DVI-сплиттеры и DVI-коммутаторы
499945,,,,VGA-сплиттеры и VGA-коммутаторы
499878,,,Треноги и моноподы для мобильных телефонов и планшетных ПК
3356,,Оборудование для аркад
3117,,,Игровые автоматы
3140,,,Машины для пинбола
3676,,,Принадлежности для игровых автоматов
3681,,,Машины для скибола
3946,,,Принадлежности для машины для пинбола
8085,,,Баскетбольные игровые автоматы
3702,,Печатные платы и их компоненты
3635,,,Пассивные компоненты электрических цепей
3121,,,,Индукторы
3220,,,,Электрические конденсаторы
3424,,,,Резисторы
7260,,,,Электронные осцилляторы
3889,,,Прототипные печатные платы
4010,,,,Макетные платы
3991,,,Полупроводники
3094,,,,Транзисторы
3632,,,,Диоды
3949,,,,Микроконтроллеры
7257,,,,Интегральные схемы и чипы
7258,,,Электронные фильтры
7259,,,Электронные шифраторы и дешифраторы
7264,,,Печатные платы
3416,,,,Платы для прототипирования
8516,,,,Печатные платы для телевизоров
8544,,,,"Печатные платы для принтеров, копиров и факсов"
8545,,,,Печатные платы для бытовых приборов
8549,,,,Печатные платы для бассейнов и джакузи
298419,,,,Печатные платы для фотоаппаратов
499675,,,,Печатные платы для сканеров
499889,,,,Печатные платы для спортивных тренажеров
499898,,,,Печатные платы для компьютеров
289,,,,,Материнские платы
8546,,,,,Печатные платы для жестких дисков
499899,,,,,Платы инвертеров для компьютеров
500027,,,Принадлежности для печатных плат
3895,,Принадлежности для устройств GPS
3213,,,Крепления для устройств GPS
3781,,,Чехлы для устройств GPS
4488,,Устройства для взимания оплаты
6544,,GPS-трекеры
500091,,Радары скорости
412,"Продукты, напитки и табачные изделия"
413,,Напитки
415,,,Горячий шоколад
418,,,Молоко
420,,,Вода
543530,,,,Дистиллированная вода
543531,,,,Газированная вода
543534,,,,,Газированная вода со вкусом
543535,,,,,Газированная вода без вкуса
543532,,,,Родниковая вода
543533,,,,Негазированная минеральная вода
1868,,,Кофе
2073,,,Чаи и чайные смеси
2628,,,Газированная вода с сиропом
2887,,,Соки
5723,,,Спортивные и энергетические напитки
5724,,,Растительное молоко
6797,,,Пахта
6848,,,Смеси для напитков
7528,,,Напитки с уксусом
8030,,,Эгг-ног
8036,,,Ароматизированные фруктовые напитки
499676,,,Алкогольные напитки
414,,,,Пиво
417,,,,Крепкие алкогольные напитки
1671,,,,,Джин
1926,,,,,Виски
2107,,,,,Водка
2220,,,,,Текила
2364,,,,,Бренди
2605,,,,,Ром
2933,,,,,Ликеры
502976,,,,,Сетю и соджу
543642,,,,,,Сётю
543643,,,,,,Соджу
505761,,,,,Абсент
421,,,,Вино
5725,,,,Смеси для коктейлей
543536,,,,,Долгохранящиеся смеси для коктейлей
543537,,,,,Замороженные смеси для коктейлей
5887,,,,Алкогольные напитки со вкусовыми добавками
6761,,,,Крепкий сидр
7486,,,,Биттеры
422,,Пищевые продукты
136,,,Корзины с продуктовыми наборами
423,,,Легкие закуски
1445,,,,Крекеры
1534,,,,Попкорн
2392,,,,Чипсы
2432,,,,Хлебцы из воздушного риса
3284,,,,Вяленое мясо
3446,,,,Крендели
5743,,,,Пудинги и закуски из желатина
5744,,,,Фруктовые закуски
5745,,,,Походная смесь
5746,,,,Гренки для супа
5747,,,,Плитки из зерновых и мюсли
543651,,,,,Батончики-мюсли
543652,,,,,Батончики из гранолы
6192,,,,Сырные палочки
6194,,,,Шкварки
6785,,,,Закусочные сладости
6847,,,,Приправы для салатов
7159,,,,Хлебные палочки
7327,,,,Баньтьынг
7427,,,,Кунжутные палочки
427,,,Приправы и соусы
1387,,,,Горчица
1568,,,,Майонез
1969,,,,Заправки к салатам
2018,,,,Кетчуп
4614,,,,Острый соус
4615,,,,Ореховый соус
4616,,,,Соевый соус
4692,,,,Тахина
4943,,,,Сиропы
4947,,,,Мёд
5759,,,,Соусы для пасты
5760,,,,Оливки и каперсы
5762,,,,Подливки
5763,,,,Рыбный соус
6203,,,,Соус для пиццы
6246,,,,Вустерский соус
6772,,,,Коктейль-соус для креветок
6782,,,,Соус с хреном
6783,,,,Соус тартар
6845,,,,Топпинги для десертов
6844,,,,,Сироп для мороженого
6854,,,,,Фруктовый топпинг
6905,,,,Соус карри
500074,,,,Маринады и соусы для барбекю
500075,,,,Релиш и чатни
500076,,,,Маринованные овощи
500089,,,,Кисло-сладкие соусы
500105,,,,Белые и сливочные соусы
428,,,Молочные продукты
429,,,,Сыр
1855,,,,Творог
1954,,,,Йогурт
4418,,,,Сливки для кофе
5786,,,,Сливки
5787,,,,Сметана
5827,,,,Масло и маргарин
6821,,,,Взбитые сливки
430,,,Фрукты и овощи
1755,,,,Сухофрукты
5793,,,,Свежие и замороженные овощи
6568,,,,,Спаржа
6570,,,,,Артишоки
6577,,,,,Бобы
6580,,,,,Свекла
6585,,,,,Батат
6586,,,,,Картофель
6587,,,,,Огуречник
6590,,,,,Брюссельская капуста
6591,,,,,Брокколи
6592,,,,,Кочанная капуста
6595,,,,,Морковь
6596,,,,,Испанские артишоки
6598,,,,,Корень сельдерея
6599,,,,,Сельдерей
6600,,,,,Цветная капуста
6608,,,,,Огурцы
6609,,,,,Кукуруза
6613,,,,,Баклажаны
6615,,,,,Папоротник
6616,,,,,Капуста гай-чой
6617,,,,,Гай-лан
6618,,,,,Корень лопушника
6619,,,,,Корень имбиря
6620,,,,,Чеснок
6622,,,,,Зелень
5792,,,,,,Смеси для салатов
6569,,,,,,Рукола
6581,,,,,,Зелень свеклы
6584,,,,,,Китайская капуста
6597,,,,,,Листовая свекла
6610,,,,,,Капуста чой-сум
6629,,,,,,Кормовая капуста
6637,,,,,,Салат-латук
6656,,,,,,Он-чой
6695,,,,,,Шпинат
6706,,,,,,Рапс
6717,,,,,,Цикорий
6627,,,,,Лук-порей
6628,,,,,Кольраби
6630,,,,,Хикама
6631,,,,,Корень хрена
6643,,,,,Ксантосома
6644,,,,,Корень лотуса
6653,,,,,Грибы
6655,,,,,Лук репчатый
6657,,,,,Окра
6663,,,,,Пастернак
6664,,,,,Корень петрушки
6668,,,,,Перцы
6669,,,,,Горох
6681,,,,,Ревень
6682,,,,,Редис
6692,,,,,Тамарилло
6693,,,,,Топинамбур
6694,,,,,Сахарный тростник
6700,,,,,Водный кресс
6701,,,,,Водяные орехи
6703,,,,,Помидоры
6704,,,,,Корень таро
6705,,,,,Корень тапиоки
6716,,,,,Аракача
6808,,,,,Листья кактуса
6816,,,,,Луковицы фенхеля
6818,,,,,Лук-шарлот
7193,,,,,Ростки пшеницы
8515,,,,,Клубни ямса
499905,,,,,Овощные смеси
503761,,,,,Ростки бобовых
505329,,,,,Свёкла и брюква
505354,,,,,Тыквы
5794,,,,Фруктовые пюре
5795,,,,Свежие и замороженные фрукты
6566,,,,,Яблоки
6571,,,,,Атемойя
6572,,,,,Авокадо
6573,,,,,Бабако
6574,,,,,Бананы
6582,,,,,Ягоды
6589,,,,,Плоды хлебного дерева
6593,,,,,Плоды опунции
6594,,,,,Карамбола
6602,,,,,Черимойя
6614,,,,,Фейхоа
6624,,,,,Хомли
6625,,,,,Гуава
6626,,,,,Виноград
6633,,,,,Киви
6638,,,,,Личи
6639,,,,,Локваты
6640,,,,,Лонган
6645,,,,,Мангостаны
6647,,,,,Мами
6649,,,,,Дыни
6661,,,,,Папайя
6665,,,,,Груши
6667,,,,,Маракуйя
6670,,,,,Ананасы
6671,,,,,Физалис
6672,,,,,Хурма
6673,,,,,Гранаты
6676,,,,,Питахайа
6678,,,,,Рамбутаны
6679,,,,,Айва
6687,,,,,Сапота
6688,,,,,Саподилла
6691,,,,,Саусепы
6698,,,,,Тамаринд
6809,,,,,Кокосы
6810,,,,,Инжир
6812,,,,,Финики пальчатые
6813,,,,,Мадруно
6814,,,,,Сахарные яблоки
499906,,,,,Свежие и замороженные фруктовые смеси
503759,,,,,Цитрусовые
6621,,,,,,Грейпфруты
6632,,,,,,Кумкваты
6636,,,,,,Лимоны
6641,,,,,,Лаймкваты
6642,,,,,,Лаймы
6658,,,,,,Апельсины
6697,,,,,,Танжело
503760,,,,,Костянки
6567,,,,,,Абрикосы
6601,,,,,,Вишни
6646,,,,,,Манго
6674,,,,,,Сливы
6675,,,,,,Плумкот
505301,,,,,,Персики и  нектарины
5796,,,,Сухие бобы
5797,,,,Консервированные бобы
5798,,,,Консервированные овощи
5799,,,,Консервированные фрукты
7387,,,,Сушеные овощи
431,,,"Зерновые, рис и крупы"
4682,,,,Рис
4683,,,,Амарант
4684,,,,Гречневая крупа
4686,,,,Просо
4687,,,,Ячмень
4688,,,,Пшеница
4689,,,,Крупы и мюсли
4690,,,,"Овес, овсяная крупа и овсяная мука"
6259,,,,Квиноа
7196,,,,Кус-кус
7374,,,,Рожь
432,,,"Мясо, морепродукты и яйца"
4627,,,,Яйца
543554,,,,,Яичный белок
543555,,,,,Жидкие и замороженные яйца
543556,,,,,Готовые яйца
543557,,,,,Целые яйца
4628,,,,Мясо
5804,,,,,Мясные блюда и деликатесы
5805,,,,,Свежее и замороженное мясо
5811,,,,,Мясные консервы
4629,,,,Морепродукты
5812,,,,,Свежие и замороженные морепродукты
5813,,,,,Консервированные морепродукты
433,,,Орехи и семечки
434,,,Паста и лапша
1876,,,Выпечка
424,,,,Хлебо-булочные изделия
1573,,,,Бейглы
1895,,,,Маффины
2194,,,,Торты и десерты
2229,,,,Печенье
5054,,,,Помадка
5748,,,,Тортильи и лаваши
5749,,,,Пироги и торты
5750,,,,Выпечка и лепешки
5751,,,,Пончики
5790,,,,Рожки для мороженого
5904,,,,Выпечка ассорти
6195,,,,Кексы
6196,,,,Кексы к кофе
6891,,,,Лепешки для тако
2423,,,Супы и бульоны
2660,,,Кулинарные и кондитерские ингредиенты
2126,,,,Кулинарные масла
2140,,,,Уксус
2572,,,,Смеси для выпечки
2775,,,,Мука
2803,,,,Разрыхлитель
2905,,,,Дрожжи
4613,,,,Бобовые паста и соус
5105,,,,Сахарные волокна
5752,,,,Тесто
5753,,,,,Тесто для пирогов
5755,,,,,Тесто для хлеба и пасты
5756,,,,,Тесто для печений и брауни
5765,,,,Кулинарный растительный и животный жир
5766,,,,Меласса
5767,,,,Маршмэллоу
5768,,,,Желатин
5769,,,,Сахарная глазурь
5770,,,,Кукурузный сироп
5771,,,,Пищевой крахмал
5773,,,,Панировочные сухари
5774,,,,Пищевая сода
5775,,,,Экстракты и ароматизаторы для выпечки
5776,,,,Кондитерский шоколад
5777,,,,Вина для готовки
5778,,,,Смеси для вафель и оладий
5800,,,,Начинки для выпечки
6754,,,,Обсыпка для выпечки
6774,,,,Блинные смеси
6775,,,,Съедобные украшения для выпечки
