1,Тварини та зоотовари
2,,Товари для домашніх тварин
3,,,Товари для птахів
5685,,,,"Шкарпетки ""табі"""
5686,,,,Аксесуари для обі
5687,,,,Обі
5688,,,,Нижня білизна кімоно
5422,,,Аксесуари для одягу для дітей та малюків
5623,,,,Ремені для дітей та малюків
5624,,,,Рукавички та рукавиці для дітей та малюків
5625,,,,Капелюхи для дітей та малюків
5626,,,,Захисний одяг для немовлят
5443,,,Аксесуари для нареченої
5446,,,,Весільні фати
5941,,,Гетри
5942,,,Нарукавники та знімні рукави
6238,,,Вушники
6268,,,Гавайські вінки
6984,,,Кісточки для комірців
6985,,,Заклепки-кнопки
7133,,,Рукавички-муфти
7230,,,Шиїники
499972,,,Пояси
502987,,,Пояси та підтримувальні бандажі для вагітних
184,,Костюми та аксесуари
5192,,,Аксесуари для костюмів
5426,,,,Костюмні капелюхи
5907,,,,Костюмні накидки
7304,,,,Капсули для імітації лисини
8017,,,,Набори аксесуарів для костюмів
8018,,,,Іграшкові прикраси
8200,,,,Костюмні рукавички
500008,,,,Тютюнові вироби для костюмів
500118,,,,Спецефекти для костюмів
5193,,,Карнавальні костюми
5194,,,Маски
5387,,,Костюмне взуття
187,,Взуття
188,,Ювелірні вироби
189,,,Браслети на ногу
190,,,Біжутерія для тіла
191,,,Браслети
192,,,Прикраси та підвіски
194,,,Сережки
196,,,Намиста
197,,,Брошки та значки на підкладці
200,,,Перстні
201,,,Наручні та карманні годинники
5122,,,Аксесуари для годинників
5123,,,,Ремінці для годинників
6870,,,,Відмотувачі для годинників
7471,,,,Наклейки та декали для годинників
6463,,,Комплекти ювелірних виробів
1604,,Одяг
182,,,Одяг для дітей та малюків
5408,,,,Нижня білизна для дітей та малюків
5409,,,,Купальники для немовлят та малюків
5410,,,,Верхній одяг для немовлят та малюків
5411,,,,Комбінезони для немовлят
5412,,,,Нічний одяг для немовлят та малюків
5423,,,,Шкарпетки та колготки для немовлят та малюків
5424,,,,Сукні для дітей та малюків
5425,,,,Верхній одяг для дітей та малюків
5549,,,,Покривала для підгузків для дітей та малюків
5621,,,,Дитяча білизна для малюків
5622,,,,Одяг для немовлят та малюків
203,,,Верхній одяг
1831,,,,Жилети
3066,,,,Дощовики
5506,,,,Штани-чапси
5514,,,,Дощові штани
5598,,,,Пальта та куртки
5909,,,,Штани та костюми для снігу
204,,,Брюки
207,,,Шорти
208,,,Нічна білизна та домашній одяг
2302,,,,Халати
2580,,,,Піжами
5513,,,,Нічні сорочки
5713,,,,Одяг для відпочинку
211,,,Купальники
212,,,Сорочки та топи
213,,,Білизна та шкарпетки
209,,,,Носки
214,,,,Бюстгальтери
215,,,,Панчохи
1578,,,,Коригувальне білизна
1772,,,,Жіноча білизна
1807,,,,Термобілизна
2562,,,,Білизна
2563,,,,Аксесуари для білизни
1675,,,,,Підв'язки
2160,,,,,Пояси для підтяжок
2745,,,,Майки
2963,,,,Спідниці та підштаники
5327,,,,Спортивні пахові підтримувачі
5834,,,,Комбінації
7207,,,,Аксесуари для бюстгальтера
7208,,,,,Накладки на бретелі бюстгальтера
7209,,,,,Пелюстки та камуфляж для грудей
7210,,,,,Вкладиші для збільшення грудей
7211,,,,,Бретелі та подовжувачі для бюстгальтера
1581,,,Спідниці
2331,,,,Міні-спідниці
6228,,,,Довгі спідниці
6229,,,,Юбки до колін
1594,,,Костюми
1516,,,,Костюми з спідницею
1580,,,,Смокінги
5183,,,,Костюми-брюки
2271,,,Сукні
2306,,,Уніформа
206,,,,Шкільна форма
2292,,,,Білі халати
3414,,,,Охоронні форми
3598,,,,Спортивна форма
3191,,,,,Бейсбольна форма
3253,,,,,Форма для суддів
3379,,,,,Форма для софтболу
3439,,,,,Баскетбольна форма
3683,,,,,Уніформа для чирлідінгу
3724,,,,,Форма для крикету
3852,,,,,Уніформа для боротьби
3888,,,,,Уніформа для американського футболу
3958,,,,,Хокейна форма
4003,,,,,Форма для бойових мистецтв
5564,,,,,Футбольна форма
5484,,,,Робочі штани та комбінезони
5878,,,,Костюми для польотів
5949,,,,Військова форма
7235,,,,Уніформа для обслуговування їжі
2396,,,,,Кухарські жакети
7236,,,,,Кухарські штани
7237,,,,,Кухарські капелюхи
5182,,,Однодетальні купальники
5250,,,,Комбінезони та ромпери
5490,,,,Леотарди та унітарди
7132,,,,Комбінезони
5322,,,Спортивний одяг
3951,,,,Штани для американського футболу
5378,,,,Боксерські шорти
5379,,,,Шорти для бойових мистецтв
5460,,,,Мисливський одяг
5461,,,,,Мисливські та рибальські жилети
5462,,,,,"Камуфляжні костюми ""Гіллі"""
5552,,,,,Мисливські та тактичні штани
5517,,,,Захисний одяг для мотоциклістів
5463,,,,,Мотоциклетні костюми
6006,,,,,Мотоциклетні куртки
7003,,,,,Мотоциклетні штани
5555,,,,Одяг для пейнтболу
5697,,,,Спортивний одяг для велосипедистів
3128,,,,,Велосипедні нагрудники
3188,,,,,Велосипедні шорти та труси
3455,,,,,Велосипедні майки
3729,,,,,Велосипедні легінси
6087,,,,,Велосипедні комбінезони
499979,,,,"Танцювальні сукні, спідниці та костюми"
5344,,,Юбки-шорти
5388,,,Традиційний та церемоніальний одяг
5343,,,,Кімоно
5679,,,,,Кімоно Томесоде та Хоумонгі
5680,,,,,Кімоно Комон
5681,,,,,Кімоно Іромуї
5682,,,,,Кімоно Фурісоде
5683,,,,,Повсякденні кімоно
5684,,,,,Кімоно для нареченої
5483,,,,Релігійний обрядовий одяг
8149,,,,,Сукні для хрещення та причастя
5673,,,,Кімоно верхнього одягу
5677,,,,,Кімоно-пальто
5678,,,,,Жакети Хаорі
5674,,,,Штани хакама
5676,,,,Юката
6031,,,,Дірндли
6227,,,,Японський чорний офіційний одяг
7281,,,,Традиційні шкіряні штани
8248,,,,Сарі та легенги
5441,,,Весільні та наречених плаття
5329,,,,Весільні плаття
5330,,,,Сукні для весільної вечірки
7313,,,Комплекти одягу
1933,,Аксесуари для взуття
1856,,,Шнурівки
2427,,,Шпори
5385,,,Чохли для взуття
5567,,,Вкладиші для чобіт
7078,,,Гамаши
6551,,"Сумки, гаманці та чохли"
2668,,,Гаманці та грошові кліпси
3032,,,Дамські сумки
6169,,,Кейси для візиток
6170,,,Бейдж-тримачі та обкладинки для пропусків
6552,,Аксесуари для сумок та гаманців
175,,,Брелоки для ключів
5841,,,Ланцюжки для гаманців
6277,,,Шнурки для бейджів
6460,,,Обкладинки для чекових книжок
222,Електроніка
223,,Аудіо
242,,,Аудіоплеєри та рекордери
225,,,,Бумбокси
226,,,,CD-плеєри та рекордери
230,,,,Системи караоке
233,,,,MP3-плеєри
235,,,,Програвачі та рекордери MiniDisc
243,,,,Магнітофони
244,,,,Диктофони
251,,,,Стереосистеми
252,,,,Домашні театральні системи
256,,,,Проїгрівачі та вінілові проїгрівачі
4652,,,,Музичні автомати
5434,,,,Багатоканальні рекордери
6886,,,,Радіо
8271,,,,Магнітофони та рекордери з котушковою стрічкою
1420,,,Аудіоаксесуари
232,,,,Аксесуари для MP3-плеєрів
3055,,,,,Чохли для MP3-плеєрів
7566,,,,,Набори аксесуарів для MP3-плеєра та мобільного телефону
239,,,,Аксесуари для супутникового радіо
2372,,,,Аксесуари для проїгрівача
3306,,,,Аксесуари для мікрофонів
3912,,,,Стійки для мікрофонів
5395,,,,Аксесуари для систем караоке
5396,,,,,Чіпи для караоке
7163,,,,Аксесуари для колонок
8047,,,,,Сумки для стійок для колонок
8049,,,,,Стійки та кріплення для динаміків
500112,,,,,"Сумки, чохли та кейси для колонок"
500119,,,,,Тактильні перетворювачі
500120,,,,,Компоненти та набори для колонок
503008,,,,Аксесуари для аудіо- та відеоресиверів
505797,,,,Аксесуари для навушників та гарнітур
503004,,,,,Накладки та ковпачки для навушників
2154,,,Системи громкого зв'язку
2165,,,Аудіокомпоненти
224,,,,Аудіопідсилювачі
4493,,,,,Підсилювачі для навушників
5381,,,,,Підсилювачі потужності
234,,,,Мікрофони
236,,,,Аудіомікшери
241,,,,Аудіо- та відеоресивери
246,,,,Процесори сигналу
247,,,,,Процесори ефектів
248,,,,,Еквалайзери
3945,,,,,Попередні підсилювачі для мікрофонів
5369,,,,,Попередні підсилювачі для вінілових програвачів
5435,,,,,Кросовери
5596,,,,,Шумозаглушувачі та компресори
5597,,,,,Системи управління гучномовцями
249,,,,Динаміки
5129,,,,Аудіопередавачі
4035,,,,,FM-передавачі
5130,,,,,Передавачі Bluetooth
6545,,,,Смуги каналів
6546,,,,Директ-бокси
505298,,,,Набори для студійного запису
505771,,,,Навушники та гарнітури
543626,,,,,Навушники
543627,,,,,Гарнітури
3727,,,Сценічне обладнання
3242,,,,Бездротові передавачі
4921,,,DJ та спеціалізоване аудіо
4922,,,,CD-плеєри для DJ
4923,,,,DJ-системи
8159,,,Гучномовці
262,,Засоби зв'язку
263,,,Аксесуари для радіозв'язку
266,,,Автовідповідачі
268,,,Пейджери
270,,,Телефонія
264,,,,Аксесуари для мобільних телефонів
2353,,,,,Чохли для мобільних телефонів
4550,,,,,Брелоки та ремінці для мобільних телефонів
5566,,,,,Підставки для мобільних телефонів
6030,,,,,Попередньо оплачені картки та SIM-картки для мобільних телефонів
543515,,,,,,Попередньо оплачені картки мобільних телефонів
543516,,,,,,SIM-картки
7347,,,,,Запасні частини для мобільних телефонів
8111,,,,,Аксесуари для камер мобільних телефонів
499916,,,,,Інструменти для видалення SIM-карток
265,,,,Аксесуари для телефону
269,,,,,Телефонні картки
267,,,,Мобільні телефони
543512,,,,,Попередньо оплачені мобільні телефони
543513,,,,,Мобільні телефони за контрактом
543514,,,,,Розблоковані мобільні телефони
271,,,,Дротові телефони
272,,,,Бездротові телефони
1924,,,,Супутникові телефони
4666,,,,Телефони для конференцій
274,,,Відеоконференції
360,,,Домофони
2471,,,Радіостанції
273,,,,Двосторонні радіостанції
2106,,,,CB радіо
4415,,,,Радіосканери
5275,,,Ідентифікатори викликів
5404,,,Аксесуари для домофонів
278,,Комп'ютери
298,,,Портативні пристрої
3539,,,,Пристрої для читання електронних книг
3769,,,,КПК (Кишенькові персональні комп'ютери)
5256,,,,Збирачі даних
325,,,Настільні комп'ютери
328,,,Ноутбуки
331,,,Комп'ютерні сервери
4745,,,Планшетні комп'ютери
5254,,,"Комп'ютери ""Barebone"""
5255,,,Інтерактивні кіоски
8539,,,Тонкі та нульові клієнти
543668,,,,Комп'ютери з тонкими клієнтами
543669,,,,Комп'ютери Zero Client
500002,,,Розумні окуляри
502995,,,Комп'ютери з сенсорним столом
339,,Системи GPS-навігації
340,,Морська електроніка
1550,,,Ехолоти
1552,,,Морський радар
2178,,,Морські картплотери та GPS
4450,,,Морські радіостанції
8134,,,Морські аудіо- та відеоприймачі
8473,,,Морські динаміки
342,,Мережеві технології
290,,,Мережеві карти та адаптери
343,,,Модеми
1350,,,Мости та роутери
2358,,,,VoIP-шлюзи та роутери
5496,,,,Бездротові точки доступу
5497,,,,Бездротові роутери
5659,,,,Мережеві мости
2121,,,Репітери та передавачі
2455,,,Концентратори та комутатори
2479,,,Концентратори та мультиплексори
3425,,,Сервери друку
3742,,,Пристрої мережевої безпеки та брандмауери
5576,,,Аксесуари для модемів
6508,,,Адаптери живлення через Ethernet
345,,"Друк, копіювання, сканування та факс"
284,,,Аксесуари для сканерів
306,,,Сканери
6865,,,3D Принтери
499682,,,Аксесуари для 3D принтерів
500106,,,"Принтери, копірки та факси"
502990,,,"Аксесуари для принтера, копірки та факсу"
1683,,,,Пам'ять принтера
5258,,,,Розхідні матеріали для принтера
356,,,,,Картриджі для тонера та струменевих принтерів
5259,,,,,Барабани та набори барабанів для принтера
5260,,,,,Рибки для принтера
5261,,,,,Друкарські головки
5262,,,,,Набори для обслуговування принтера
5266,,,,,Фільтри для принтера
7362,,,,,Заправка картриджів для тонера та струменевих принтерів
5265,,,,Дуплексери для принтера
5459,,,,Стенди для принтера
502991,,,,"Запчастини для принтера, копірки та факсу"
386,,Відео
305,,,Комп'ютерні монітори
387,,,Відеоплеєри та рекордери
388,,,,DVD та Blu-ray плеєри
389,,,,DVD-рекордери
390,,,,Цифрові відеореєстратори
391,,,,Відеомагнітофони
5276,,,,Плеєри для стрімінгу та домашніх медіа
396,,,Проектори
397,,,,Мультимедійні проектори
398,,,,Проектори для відображення зображення зверху
399,,,,Проектори для слайдів
404,,,Телевізори
1368,,,Обладнання та пристрої для монтажу відео
1634,,,Відеомультиплексори
2027,,,Аксесуари для відео
283,,,,Аксесуари для комп'ютерних моніторів
5516,,,,,Калібратори кольору
393,,,,Аксесуари для проекторів
394,,,,,Замінні лампи для проекторів
395,,,,,Екрани для проекторів
4570,,,,,Стенди для екранів проекторів
5257,,,,,Кріплення для проекторів
5599,,,,,Юбки для проекторів та триподів
403,,,,Запчастини та аксесуари для телевізорів
4458,,,,,Кріплення для телевізорів та моніторів
5471,,,,,Замінні лампи для телевізорів
5503,,,,,Конвертери для телевізорів
43616,,,,,Запасні динаміки для телевізора
2145,,,,Перемотувачі
4760,,,,3D Окуляри
5278,,,Відеосервери
5450,,,Відеопередавачі
5561,,,Супутникове та кабельне ТБ
401,,,,Супутникові приймачі
5562,,,,Приймачі кабельного телебачення
912,,Радар-детектори
1270,,Аксесуари для ігрових консолей
1505,,,Аксесуари для домашніх ігрових консолей
2070,,,Аксесуари для переносних ігрових консолей
1294,,Ігрові консолі
1801,,Компоненти
1337,,,Модулятори
1544,,,Розгалужувачі
1977,,,Конектори для електронних компонентів
2182,,,Конвертери
2205,,,,Скан-конвертери
503001,,,,Аудіоконвертери
7395,,,Акселерометри
2082,,Аксесуари для електроніки
258,,,Адаптери
146,,,,Адаптери для карт пам'яті
4463,,,,Адаптери та з'єднувачі для аудіо- та відеокабелів
7182,,,,USB адаптери
259,,,Кабелі
1480,,,,Мережеві кабелі
1763,,,,Системні та живлення кабелі
1867,,,,Аудіо- та відеокабелі
3461,,,,KVM кабелі
3541,,,,Телефонні кабелі
500035,,,,Кабелі для зберігання та передачі даних
275,,,Енергія
276,,,,Батарейки
1564,,,,,Батареї для ноутбуків
1722,,,,,Батареї для камер
1745,,,,,Акумулятори для мобільних телефонів
1880,,,,,Батареї для бездротових телефонів
2222,,,,,Батареї для відеокамер
4928,,,,,Батарейки загального призначення
5133,,,,,Батареї для PDA
6289,,,,,Батареї для безперебійних блоків живлення
7438,,,,,Батареї для планшетних комп'ютерів
7551,,,,,Батареї для електронних книг
499810,,,,,Батареї для MP3-плеєрів
500117,,,,,Батареї для ігрових консолей та контролерів
1348,,,,Безперебійні блоки живлення
1375,,,,Аксесуари для безперебійних блоків живлення
2978,,,,Паливні елементи
3160,,,,Багатогніздові блоки та прилади для захисту від перенапруги
5274,,,,Корпуси блоків живлення
5380,,,,Пристрої захисту від перенапруги
6790,,,,Блоки управління живленням
6933,,,,Аксесуари для блоків живлення та зарядних пристроїв
7135,,,,Подорожні перетворювачі та адаптери
7166,,,,Аксесуари для батарей
3130,,,,,Зарядні пристрої для батарей камер
6817,,,,,Контролери заряду батарей
7167,,,,,Зарядні пристрої для батарейок загального призначення
8243,,,,,Тримачі для батарей
499928,,,,,Тестери батарейок загального призначення
505295,,,,Блоки живлення та зарядні пристрої
279,,,Комп'ютерні аксесуари
280,,,,Аксесуари для портативних пристроїв
4736,,,,,Аксесуари для електронних книг
4738,,,,,,Чохли для електронних книг
4737,,,,,Аксесуари для PDA
4739,,,,,,Чохли для PDA
300,,,,Док-станції для ноутбуків
1993,,,,Килимки для миші
5308,,,,Стилуси
5489,,,,Підставки та стенди для комп'ютера
5669,,,,Пера та змінні стержні для стилусів
6291,,,,Підставки для зап'ястя клавіатури та миші
6979,,,,Підставки та платформи для клавіатури
7530,,,,Чохли та накладки для комп'ютера
499956,,,,Док-станції та підставки для планшетних комп'ютерів
500040,,,,Набори комп'ютерних аксесуарів
285,,,Комп'ютерні компоненти
287,,,,Карти вводу/виводу та адаптери
286,,,,,Звукові карти та адаптери
297,,,,,Відеокарти та адаптери
1487,,,,,Тюнерні карти та адаптери для телевізора
503755,,,,,Розширювальні карти
505299,,,,,Комп'ютерні картки інтерфейсу та адаптери
291,,,,Блоки живлення для комп'ютера
292,,,,Комп'ютерні процесори
293,,,,Комп'ютерні стійки та кріплення
294,,,,Стартові набори для комп'ютера
295,,,,Деталі системи охолодження комп'ютера
296,,,,Корпуси для настільних комп'ютерів та серверів
311,,,,USB та FireWire хаби
1928,,,,Введення даних
139,,,,,Сканери штрих-кодів
301,,,,,Ігрові контролери
543588,,,,,,Джойстики
543589,,,,,,Ігрові пади
543590,,,,,,Ігрові пульти
543591,,,,,,Ігрові керма
543593,,,,,,Геймпади для музичних інструментів
302,,,,,Графічні планшети
303,,,,,Клавіатури
304,,,,,Миші та трекболи
308,,,,,Тачпади
1562,,,,,KVM перемикачі
3580,,,,,Картрідери
4512,,,,,Цифрові клавіатури
5309,,,,,Цифрові ручки для ведення нотаток
5366,,,,,Сканери відбитків пальців
499950,,,,,Пристрої введення з керуванням жестами
505801,,,,,Електронні картрідери
2414,,,,Пристрої для зберігання
377,,,,,Оптичні дисководи
380,,,,,Жорсткі диски
385,,,,,Стрічкові накопичувачі
1301,,,,,Дисководи для дискет
1623,,,,,Аксесуари для жорстких дисків
381,,,,,,Сумки для транспортування жорстких дисків
4417,,,,,,Док-станції для жорстких дисків
505767,,,,,,Корпуси та кріплення для жорстких дисків
3712,,,,,USB флеш-накопичувачі
5268,,,,,Дублювачі дисків
376,,,,,,Дублікатори CD/DVD
5112,,,,,,Дублювачі USB-накопичувачів
5271,,,,,,Дублювачі жорстких дисків
5269,,,,,Системи мережевого зберігання
5272,,,,,Масиви жорстких дисків
4224,,,,Запчастини для ноутбуків
4102,,,,,Замінні екрани для ноутбуків
4270,,,,,Корпуси та обрамлення для ноутбуків
4301,,,,,Замінні клавіатури для ноутбуків
6416,,,,,Петлі для ноутбуків
7501,,,,,Замінні кабелі для ноутбуків
8160,,,,,Діджитайзери для екранів ноутбуків
43617,,,,,Замінні динаміки для ноутбуків
6475,,,,Аксесуари для введення даних
6476,,,,,Стенди для сканерів штрих-кодів
8008,,,,,Аксесуари для ігрових контролерів
500052,,,,,Аксесуари для миші та трекболу
503003,,,,,Клавіші та ковпачки клавіатури
6932,,,,Корпуси для серверів Blade
7349,,,,Запчастини для планшетних комп'ютерів
45262,,,,,Замінні динаміки для планшетних комп'ютерів
500013,,,,,Екрани та діджитайзери для планшетних комп'ютерів
503002,,,,,Корпуси та обрамлення для планшетних комп'ютерів
8158,,,,Задні панелі комп'ютера та щити вводу/виводу
8162,,,,Запчастини для електронних книг
8163,,,,,Екрани та дигітайзери для електронних книг
288,,,Пам'ять
384,,,,Флеш-пам'ять
3387,,,,,Карти флеш-пам'яті
1665,,,,Кеш-пам'ять
1733,,,,ОЗУ (оперативна пам'ять)
1767,,,,Відеопам'ять
2130,,,,ПЗУ (постійна пам'ять)
341,,,Пульти дистанційного керування
367,,,Порожні носії
1718,,,Антени
3328,,,Організація кабелів
3764,,,,Кліпси для кабелів
4016,,,,Стяжки для дроту та кабелю
5273,,,,Патч-панелі
6402,,,,Траси для кабелів
6780,,,,Оплетки для дроту та кабелю
499686,,,,Маркери для ідентифікації дроту та кабелю
500036,,,,Пістолети для кріплення кабелів
3422,,,Аксесуари для пам'яті
3672,,,,Корпуси для пам'яті
4617,,,Засоби для чищення електроніки
5466,,,Плівки та захисні екрани для електроніки
5467,,,,Фільтри конфіденційності
5468,,,,Захисні плівки для екрану
5469,,,,Захисні покривала для клавіатури
5523,,,,Наклейки та декали для електроніки
5473,,,Підсилювачі сигналу
5476,,,Аксесуари для антен
5477,,,,Кріплення та дужки для антен
5478,,,,Ротатори антен
6016,,,,Супутникові LNB
5695,,,Пристрої для глушіння сигналу
5589,,,,Пристрої для глушіння радарів
5612,,,,Пристрої для перешкоджання GPS
5696,,,,Пристрої для глушення сигналу мобільних телефонів
8156,,,Розподільники та перемикачі для аудіо- та відеосигналів
8164,,,,Розгалужувачі та перемикачі HDMI
499944,,,,Розподільники та перемикачі DVI
499945,,,,VGA розгалужувачі та перемикачі
499878,,,Триноги та моноподи для мобільних телефонів та планшетів
3356,,Обладнання для аркад
3117,,,Шафи для ігрових автоматів
3140,,,Автомати пінбол
3676,,,Аксесуари для ігрових автоматів
3681,,,Машини для гри в Скі-Бол
3946,,,Аксесуари для автоматів пінбол
8085,,,Аркадні ігри з баскетболом
3702,,Плати побутових пристроїв та компоненти
3635,,,Пасивні компоненти електричних кіл
3121,,,,Індуктори
3220,,,,Конденсатори
3424,,,,Резистори
7260,,,,Електронні генератори
3889,,,Прототипування побутових пристроїв
4010,,,,Макетні дошки
3991,,,Півпровідники
3094,,,,Транзистори
3632,,,,Діоди
3949,,,,Мікроконтролери
7257,,,,Інтегральні схеми та мікросхеми
7258,,,Електронні фільтри
7259,,,Декодери та енкодери цепів
7264,,,Друковані плати
3416,,,,Розробницькі плати
8516,,,,Телевізійні плати
8544,,,,"Друковані плати для принтера, копірки та факсу"
8545,,,,Плати електроніки побутових приладів
8549,,,,Плати управління для басейну та спа
298419,,,,Плати камер
499675,,,,Плати сканерів
499889,,,,Плати управління для тренажерів
499898,,,,Комп'ютерні плати
289,,,,,Материнські плати
8546,,,,,Плати жорстких дисків
499899,,,,,Комп'ютерні інверторні плати
500027,,,Аксесуари для плати побутових пристроїв
3895,,Аксесуари для GPS
3213,,,Кріплення для GPS
3781,,,Чохли для GPS
4488,,Пристрої для збору плати за проїзд
6544,,GPS-трекери
500091,,Радари швидкості
412,"Їжа, напої та тютюнові вироби"
413,,Напої
415,,,Гарячий шоколад
418,,,Молоко
420,,,Вода
543530,,,,Дистильована вода
543531,,,,Газована вода
543534,,,,,Газована вода зі смаком
543535,,,,,Несмакована газована вода
543532,,,,Джерельна вода
543533,,,,Негазована мінеральна вода
1868,,,Кава
2073,,,Чай та настої
2628,,,Содова вода
2887,,,Сік
5723,,,Спортивні та енергетичні напої
5724,,,Рослинне молоко
6797,,,Простокваша
6848,,,Порошкові суміші для напоїв
7528,,,Напої з оцетом
8030,,,Гоголь-моголь
8036,,,Фруктові напої
499676,,,Алкогольні напої
414,,,,Пиво
417,,,,Алкогольні напої та спирт
1671,,,,,Джин
1926,,,,,Віскі
2107,,,,,Водка
2220,,,,,Текіла
2364,,,,,Бренді
2605,,,,,Ром
2933,,,,,Лікери
502976,,,,,Шочу та Соджу
543642,,,,,,Шочу
543643,,,,,,Соджу
505761,,,,,Абсент
421,,,,Вино
5725,,,,Коктейльні мікси
543536,,,,,Коктейльні мікси для зберігання на полиці
543537,,,,,Заморожені коктейльні мікси
5887,,,,Алкогольні напої зі смаком
6761,,,,Сухий сидр
7486,,,,Біттери
422,,Продукти харчування
136,,,Подарункові кошики з продуктами
423,,,Продукти для перекусу
1445,,,,Крекери
1534,,,,Попкорн
2392,,,,Чіпси
2432,,,,Повітряні рисові коржики
3284,,,,Сушена м'ясна закуска
3446,,,,Прецелі
5743,,,,Пудинги та желейні снеки
5744,,,,Фруктові снеки
5745,,,,Мікси для трекінгу та перекусів
5746,,,,Сухарики
5747,,,,Злакові та гранольові батончики
543651,,,,,Злакові батончики
543652,,,,,Батончики граноли
6192,,,,Сирні пухирчики
6194,,,,Свинячі шкірки
6785,,,,Печиво для перекусу
6847,,,,Додатки до салатів
7159,,,,Грісіні
7327,,,,Рисові кекси
7427,,,,Палички з кунжутом
427,,,Приправи та соуси
1387,,,,Гірчиця
1568,,,,Майонез
1969,,,,Заправка для салату
2018,,,,Кетчуп
4614,,,,Гострий соус
4615,,,,Соус Сате
4616,,,,Соєвий соус
4692,,,,Тахіні
4943,,,,Сироп
4947,,,,Мед
5759,,,,Соус для пасти
5760,,,,Оливки та каперси
5762,,,,Соуси
5763,,,,Рибний соус
6203,,,,Соус для піци
6246,,,,Соус Вустерширський
6772,,,,Соус для коктейлів
6782,,,,Соус з хрону
6783,,,,Соус тартар
6845,,,,Прикраси для десертів
6844,,,,,Сироп для морозива
6854,,,,,Фруктові топінги
6905,,,,Соус каррі
500074,,,,Маринади та соуси для грилю
500075,,,,Реліш та чатні
500076,,,,Консервовані фрукти та овочі
500089,,,,Солодко-кислі соуси
500105,,,,Білі та вершкові соуси
428,,,Молочні продукти
429,,,,Сир
1855,,,,Сирок
1954,,,,Йогурт
4418,,,,Кавовий кремер
5786,,,,Крем
5787,,,,Кисле молоко
5827,,,,Масло та маргарин
6821,,,,Збиті вершки
430,,,Фрукти та овочі
1755,,,,Сушені фрукти
5793,,,,Свіжі та заморожені овочі
6568,,,,,Спаржа
6570,,,,,Артишоки
6577,,,,,Боб
6580,,,,,Буряки
6585,,,,,Батат
6586,,,,,Картопля
6587,,,,,Буряк
6590,,,,,Брюссельська капуста
6591,,,,,Броколі
6592,,,,,Капуста
6595,,,,,Морква
6596,,,,,Кардон (рослина)
6598,,,,,Корені селери
6599,,,,,Селера
6600,,,,,Цвітна капуста
6608,,,,,Огірки
6609,,,,,Кукурудза
6613,,,,,Баклажани
6615,,,,,"Папороть ""солов'їний гніздечко"""
6616,,,,,Гай Чой
6617,,,,,Гай Лан
6618,,,,,Корінь гобо
6619,,,,,Корінь імбиру
6620,,,,,Часник
6622,,,,,Зелень
5792,,,,,,Суміші для салатів
6569,,,,,,Рукола
6581,,,,,,Листя буряка
6584,,,,,,Бок Чой
6597,,,,,,Мангольд
6610,,,,,,Чой сум (вид китайської капусти)
6629,,,,,,Капуста кале
6637,,,,,,Салат
6656,,,,,,Водяний шпинат
6695,,,,,,Шпинат
6706,,,,,,Юй Чой
6717,,,,,,Цикорій
6627,,,,,Порей
6628,,,,,Кольрабі
6630,,,,,Ямс білий
6631,,,,,Корінь хрону
6643,,,,,Маланги
6644,,,,,Корені лотосу
6653,,,,,Гриби
6655,,,,,Цибуля
6657,,,,,Окра (або бамія)
6663,,,,,Пастернак
6664,,,,,Коріння петрушки
6668,,,,,Перці
6669,,,,,Горох
6681,,,,,Ревінь
6682,,,,,Редька
6692,,,,,Тамарілло
6693,,,,,Топінамбури
6694,,,,,Цукровий тростинник
6700,,,,,Водяний крес
6701,,,,,Водяні каштани
6703,,,,,Помідори
6704,,,,,Корінь таро
6705,,,,,Корінь Юка
6716,,,,,Арракача
6808,,,,,Листя кактусів
6816,,,,,Цибулини фенхелю
6818,,,,,Шалот
7193,,,,,Пшенична трава
8515,,,,,Батати
499905,,,,,Овочеві суміші
503761,,,,,Паростки
505329,,,,,Ріпа та брюква
505354,,,,,Баштанні
5794,,,,Фруктові соуси
5795,,,,Свіжі та заморожені фрукти
6566,,,,,Яблука
6571,,,,,Атемойї
6572,,,,,Авокадо
6573,,,,,Бабако
6574,,,,,Банани
6582,,,,,Ягоди
6589,,,,,Хлібне дерево
6593,,,,,Плоди кактуса
6594,,,,,Карамболи
6602,,,,,Черімойя
6614,,,,,Фейхоа
6624,,,,,Домашні фрукти
6625,,,,,Гуави
6626,,,,,Виноград
6633,,,,,Ківі
6638,,,,,Лічі
6639,,,,,Білійці
6640,,,,,Лонган
6645,,,,,Мангустини
6647,,,,,Мамей
6649,,,,,Дині
6661,,,,,Папайї
6665,,,,,Груші
6667,,,,,Маракуйя
6670,,,,,Ананаси
6671,,,,,Фізаліс
6672,,,,,Хурми
6673,,,,,Гранати
6676,,,,,Пітахайї
6678,,,,,Рамбутани
6679,,,,,Айва
6687,,,,,Сапота
6688,,,,,Саподілла
6691,,,,,Гуанабани
6698,,,,,Тамарінд
6809,,,,,Кокоси
6810,,,,,Фіги
6812,,,,,Фініки
6813,,,,,Мадроньо
6814,,,,,Цукрові яблука
499906,,,,,Фруктові мікси
503759,,,,,Цитрусові фрукти
6621,,,,,,Грейпфрути
6632,,,,,,Кумквати
6636,,,,,,Лимони
6641,,,,,,Лаймквати
6642,,,,,,Лайми
6658,,,,,,Апельсини
